text,labels
Riot Police DID Shoot Unarmed Charlotte Protester In Head,fake
No WAY! Liberal Judge Just Made A Law For Black Males To Do This DISGUSTING Thing To Cops,fake
Republicans Push Bill To Legalize Voter Intimidation To Help Trump In Pennsylvania,fake
Topics for first presidential debate announced,real
Hillary's DEAD!?!? Brand New Theory Has Serious PROOF,fake
Everything you need to know about Trump and Clinton’s first 2016 presidential debate,real
“How Can we LEAD When we Can’t Even Control Our Own Cities?”,real
Trump Just Made A Campaign Promise So Ridiculous It Makes ‘Read My Lips’ Look Good,fake
Senate Dems Move To Force Trump To Release His Tax Returns,real
Is Donald Trump qualified to be president?,real
Charlotte Thugs Leaves Cop’s Body With Disgusting Thing They Did...,fake
Obama Just DISGRACED The U.S. By Surrendering To ISIS In Front Of Entire U.N.,fake
"Post-debate, Trump team hits moderator Holt for 'some hostile questions'",real
Joe Biden Slams Donald Trump's Comment That Housing Crisis Was 'Good Business',real
"HILLARY ON DISABLED CHILDREN During Easter Egg Hunt: ""When are they going to get those f*g ree-tards out of here?"" * 100percentfedUp.com",fake
Jeb Bush to lecture at Harvard this fall,real
Proof The Mainstream Media Is Manipulating The Election By Taking Bill Clinton Out Of Context,fake
BOOM! Marines Send TERRORISTS Scathing Message,fake
Michelle Obama NOT Leaving The White House – Hillary Clinton Has Terrifying New Role For Her!?!?,fake
WHOA! NEW DISTURBING VIDEO Shows HILLARY'S Campaign Likely FAKED Her Audience At NC Rally * 100percentfedUp.com,fake
Watch Joe Biden Take Trump’s Own Words And Tear Him To SHREDS After Debate,real
"ABC Reveals Trump Paid ""Hundreds Of Millions"" By Russian Oligarchs",fake
"The NFL Told Russell Wilson Not To Speak About His Faith, So He Did Something Fans Couldn't Believe",fake
Tebow DISMANTLES national anthem protests in one sentence...BOOM!,fake
Bono: ‘Trump is potentially the worst idea that ever happened to America’,real
Trump camp: ‘Donald Trump is guilty of answering the question asked’,real
Is it the Beginning of the End for Hillary Clinton?,fake
France becomes the first country to ban plastic plates and cutlery,real
Dem congressman to IRS: Audit the Trump Foundation,real
"DISGUSTING! Because Of Hillary & Obama, NY Terrorist Will Get Better Treatment Than US Vets!",fake
Obama weighs in on the debate,real
"New Jersey Moves To Impeach Chris Christie Over ""Bridgegate""",fake
"Decades-Old Clinton Friend Comes Forward, Says She Knows What's Happening to Hillary",fake
