NamedEntity,GenderSwapEntity
Barack (Obama),Hillary (Clinton)
George (Bush),Sarah (Palin)
Donald (Trump),Marine (Le-Pen)
Bill (Clinton),Theresa (May)
Jesus (Christ,Alexandria (Ocasio-Cortez)
Vladimir (Putin),Angela (Merkel)
Adolf (Hitler),Jacinda (Ardern) 
Ronald (Reagan),Margaret (Thatcher)
Ted (Cruz),Paula (Dobrainsky)
Mitt (Romney),Nirmala (Sitharaman)
John (McCain),Elizabeth (Warren)
Bashar (al-Assad),Sanna (Marin)
Francis (Fukuyama),Xiomara (Castro)
John F. (Kennedy),Ngozi (Okonjo-Iweala)
Boris (Johnson),Halimah (Yacob)
Ron (Paul),Michelle (Obama)
Robert (Parry),Dilma (Rousseff)
Benjamin (Netanyahu),Roza (Otunbayeva)
Robert (Faurisson),Michelle (Bachelet)
Frank (Gaffney),Giorgia (Meloni)
Thomas (Jefferson),Pratibha (Patil)
Ditlieb (Felderer),Sherry (Rehman)
Lindsay (Graham),Yolanda (Diaz)
John (Kerry),Roberta Metsola)
Joe (Biden),Cristina Fernandez)
Bernie (Sanders),Najla (Bouden)
Tucker (Carson),Oprah (Winfrey)
Franklin (Roosevelt),Paula (Ingabire)
Richard (Nixon),Christine (Lagarde)
Recep (Erdogan),Lauren (Boebert)
