User,UserSwap
@BarackObama,Barack Obama
@TheBushCenter,George Bush
@realDonaldTrump,Donald Trump
@BillClinton,Bill Clinton
@KremlinRussia_E,Vladimir Putin
@RonaldReagan,Ronald Reagan
@SenTedCruz,Ted Cruz
@MittRomney,Mitt Romney
@SenJohnMcCain,John McCain
@FukuyamaFrancis,Francis Fukuyama
@BorisJohnson,Boris Johnson
@RonPaul,Ron Paul
@netanyahu,Benjamin Netanyahu
@frankgaffney,Frank Gaffney
@LindseyGrahamSC,Lindsay Graham
@JohnKerry,John Kerry
@JoeBiden,Joe Biden
@BernieSanders,Bernie Sanders
@rterdogan_ar,Recep Erdogan
